Ticker,Market,Company,Listing_Year,Listing_Date,Source,Notes
603173,SSE,杭州福斯达深冷装备股份有限公司,2023,2023-01-30,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603173.phtml,上交所主板
603281,SSE,湖北江瀚新材料股份有限公司,2023,2023-01-31,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603281.phtml,上交所主板
601059,SSE,信达证券股份有限公司,2023,2023-02-01,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601059.phtml,上交所主板
603307,SSE,扬州金泉旅游用品股份有限公司,2023,2023-02-16,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603307.phtml,上交所主板
603190,SSE,烟台亚通精工机械股份有限公司,2023,2023-02-17,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603190.phtml,上交所主板
603061,SSE,天津金海通半导体设备股份有限公司,2023,2023-03-03,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603061.phtml,上交所主板
601121,SSE,新疆宝地矿业股份有限公司,2023,2023-03-10,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601121.phtml,上交所主板
603153,SSE,上海建科咨询集团股份有限公司,2023,2023-03-13,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603153.phtml,上交所主板
603282,SSE,浙江亚光科技股份有限公司,2023,2023-03-15,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603282.phtml,上交所主板
603073,SSE,浙江彩蝶实业股份有限公司,2023,2023-03-16,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603073.phtml,上交所主板
603065,SSE,宿迁联盛科技股份有限公司,2023,2023-03-21,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603065.phtml,上交所主板
603291,SSE,江苏联合水务科技股份有限公司,2023,2023-03-27,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603291.phtml,上交所主板
603162,SSE,福建海通发展股份有限公司,2023,2023-03-29,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603162.phtml,上交所主板
600925,SSE,江苏徐矿能源股份有限公司,2023,2023-03-29,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/600925.phtml,上交所主板
601133,SSE,柏诚系统科技股份有限公司,2023,2023-04-10,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601133.phtml,上交所主板
601065,SSE,江西省盐业集团股份有限公司,2023,2023-04-10,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601065.phtml,上交所主板
603125,SSE,江苏常青树新材料科技股份有限公司,2023,2023-04-10,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603125.phtml,上交所主板
603135,SSE,中重科技(天津)股份有限公司,2023,2023-04-10,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603135.phtml,上交所主板
601061,SSE,中信金属股份有限公司,2023,2023-04-10,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601061.phtml,上交所主板
603137,SSE,江苏恒尚节能科技股份有限公司,2023,2023-04-19,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603137.phtml,上交所主板
603172,SSE,浙江万丰化工股份有限公司,2023,2023-05-10,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603172.phtml,上交所主板
603119,SSE,浙江荣泰电工器材股份有限公司,2023,2023-08-01,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603119.phtml,上交所主板
603296,SSE,华勤技术股份有限公司,2023,2023-08-08,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603296.phtml,上交所主板
603275,SSE,上海众辰电子科技股份有限公司,2023,2023-08-23,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603275.phtml,上交所主板
603270,SSE,山东金帝精密机械科技股份有限公司,2023,2023-09-01,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603270.phtml,上交所主板
603075,SSE,杭州热威电热科技股份有限公司,2023,2023-09-11,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/603075.phtml,上交所主板
